"Playlist Title","Pachanga! #37"
"DJ Name",PJ
"Playlist Start Date","Feb 1, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Feb 1, 2024",Khruangbin,"A Love International","A LA SALA","Dead Oceans"
"Feb 1, 2024","The Replacements","Swingin Party","Tim (Expanded Edition)","Rhino/Warner Records"
"Feb 1, 2024","World Brain","Everybody Dies","Peer 2 Peer","Mansions and Millions"
"Feb 1, 2024","Los Stellarians","This Charming Man","Rucaz N' Rolaz","Holy Grailien"
"Feb 1, 2024","New Order","Dreams Never End",Movement,"WM UK"
"Feb 1, 2024","Alex Riegelman","I Don't Know How To Care","I Don't Know How To Care - Single","2647015 Records DK"
"Feb 1, 2024","Sammy Rae & The Friends","Coming Home Song","Coming Home Song - Single",
"Feb 1, 2024",Grapetooth,Violent,Grapetooth,"Polyvinyl Records"
"Feb 1, 2024","Built to Spill","Carry the Zero","Keep It Like a Secret","Warner Records"
"Feb 1, 2024","John Lennon","Mind Games","Gimme Some Truth (Remastered)","Parlophone Catalogue"
"Feb 1, 2024","Marisa Monte","Waters Of March (feat. David Byrne)",Coleção,Phonomotor
"Feb 1, 2024","Electric Light Orchestra","Four Little Diamonds","Secret Messages (2018 Version)",Epic/Legacy
"Feb 1, 2024","Joey Quinones","What's His Name","What's His Name - Single","Colemine Records"
"Feb 1, 2024","The Avalanches","Interstellar (ft. Leon Bridges)","Interstellar (ft. Leon Bridges)",
"Feb 1, 2024","Babe Rainbow","Something New",Today,"Eureka Music"
"Feb 1, 2024","Barry Blue","Do You Wanna Dance?","Barry Blue - Greatest","Demon Digital"
