"Playlist Title","Pachanga! #68"
"DJ Name",PJ
"Playlist Start Date","Apr 17, 2025"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Apr 17, 2025","LA LOM",Alacrán,"Alacrán - Single","LA LOM"
"Apr 17, 2025",suncream,"It'll Be Alright (feat. Oli Rivers)","It'll Be Alright (feat. Oli Rivers) - Single","Field Supply"
"Apr 17, 2025","Marlon Funaki",City,"City - Single","Marlon Funaki"
"Apr 17, 2025","Steely Dan","Hey Nineteen (Live From The Met Philadelphia)","NORTHEAST CORRIDOR: STEELY DAN LIVE (Live)",Geffen
"Apr 17, 2025","The Replacements","We're Comin' Out","Let It Be (Expanded Edition)",Ryko/Rhino
"Apr 17, 2025","The Clash","Brand New Cadillac","London Calling (Expanded Edition)",Epic
"Apr 17, 2025","Cisco Swank","All The Same","More Better","THANKS Recordings"
"Apr 17, 2025","Carín León","Modo Zombie","Palabra De To's","Socios Music, LLC"
"Apr 17, 2025",Surfliner,"Danny Webster","Psychic Blues","North By South"
"Apr 17, 2025","Tomoko Aran",ひと夏のタペストリー,浮遊空間,"WM Japan"
"Apr 17, 2025","Grace Bowers & The Hodge Podge","Wine on Venus","Wine On Venus","Grace Bowers Music"
"Apr 17, 2025","David Bowie","Cat People (Putting Out Fire)","Let's Dance","Parlophone UK"
"Apr 17, 2025","Gallows Bound","Dogs a Howlin","Gallows Bound","Gallows Bound"
"Apr 17, 2025","Anders Osborne",Bewildered,"Picasso's Villa","5th Ward Records"
"Apr 17, 2025","Cowboy Malfoy","Precious To Me","Precious To Me - Single",LUSTRE
"Apr 17, 2025",GUAYA!,"Chapstick Luv","Chapstick Luv - Single","Chins Kitchen Records"
