"Playlist Title","Pachanga! #26"
"DJ Name",PJ
"Playlist Start Date","Aug 17, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Aug 17, 2023",Jef,"One For the Good Times",Yuu-Huu,"Jef & Jeff kaale"
"Aug 17, 2023","Omar Apollo",Useless,Apolonio,"Warner Records"
"Aug 17, 2023","Bobby Conn",Winners,"The Golden Age","Thrill Jockey"
"Aug 17, 2023","Talking Heads","Making Flippy Floppy (2005 Remastered)","Speaking In Tongues (Bonus Track Version)","Rhino/Warner Records"
"Aug 17, 2023",CMAT,"I Wanna Be a Cowboy, Baby!","If My Wife New I’d Be Dead",CMATBABY
"Aug 17, 2023",Cuco,"Si Me Voy (feat. The Marias)","Si Me Voy (feat. The Marias) - Single","Walk The Trail, Inc under exclusive license to Interscope Records"
"Aug 17, 2023","Orville Peck",Summertime,"Show Pony - EP",Columbia
"Aug 17, 2023","Mott the Hoople","The Golden Age of Rock 'N' Roll","The Hoople",Columbia
"Aug 17, 2023","Peter Bjorn and John","Young Folks","Writer's Block","Universal Music AB"
"Aug 17, 2023",10cc,"Good Morning Judge","Deceptive Bends (Remastered)",EMI
"Aug 17, 2023","The New Pornographers","Sing Me Spanish Techno","Twin Cinema",Matador
"Aug 17, 2023","The Apples in Stereo",Strawberryfire,"Her Wallpaper Reverie","One Little Indian Ltd."
"Aug 17, 2023","The Pointer Sisters",Fire,"Energy (Expanded Edition)","Legacy Recordings"
"Aug 17, 2023","Liam Kazar","So Long Tomorrow","Due North","Woodsist / Mare"
"Aug 17, 2023","Neal Francis","Don't Want You To Know","Sentimental Garbage","ATO Records"
