"Playlist Title","Pachanga! #18"
"DJ Name",PJ
"Playlist Start Date","Jun 8, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Jun 8, 2023","Durand Jones & The Indications","Walk Away","American Love Call","Dead Oceans"
"Jun 8, 2023","The Polecats","Make A Circuit With Me","Rockabilly Cats",Rockabilly
"Jun 8, 2023","Sure Sure","This Time","Spirit Mission","Sure Sure"
"Jun 8, 2023","Declan McKenna",Brazil,"What Do You Think About the Car?",Columbia
"Jun 8, 2023",Greenflow,"No Other Life Without You","I Got'Cha b/w No Other Life Without You - Single","Numero Group"
"Jun 8, 2023","Lucinda Williams","New York Comeback",Single,
"Jun 8, 2023",Jungle,Dominoes,Volcano,
"Jun 8, 2023",Caamp,"Peach Fuzz","By and By",Mom+Pop
"Jun 8, 2023",Feet,"Can't Get In","Can't Get In - Single","Submarine Cat Records"
"Jun 8, 2023",FLEECE,"It's the Life","It's the Life - Single",
"Jun 8, 2023",Hibou,Valium,Hibou,"Barsuk Records"
"Jun 8, 2023","Jackie Stoudemire","Don't Stop Dancin'","Don't Stop: Recording Tap","Numero Group"
"Jun 8, 2023","Ron Wood","I Can Feel the Fire","I've Got My Own Album To Do","Rhino/Warner Records"
"Jun 8, 2023",Wabie,"Hey Lover!","Cyclones and Hey Lover - Single","Wabie Records"
"Jun 8, 2023",Geese,"Cowboy Nudes","Cowboy Nudes - Single","Partisan / Play It Again Sam"
"Jun 8, 2023","Talking Heads",Mind,"Fear of Music","Warner Records"
