"Playlist Title","Pachanga! #12"
"DJ Name",PJ
"Playlist Start Date","Apr 13, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Apr 13, 2023","Van McCoy","Get Dancin'","Disco Baby","Unidisc Music Inc."
"Apr 13, 2023","Electric Light Orchestra","Do Ya","A New World Record",Epic/Legacy
"Apr 13, 2023","Little Feat","Spanish Moon","Feats Don't Fail Me Now","Rhino/Warner Records"
"Apr 13, 2023","Kid Bloom","Electric U","Different State of Mind - EP","Position Music under exclusive license from Kid Bloom"
"Apr 13, 2023","Deep Sea Diver","Impossible Weight (feat. Sharon Van Etten)","Impossible Weight","ATO Records / Fontana North"
"Apr 13, 2023",America,"Sister Golden Hair (Live)",Live,"Rhino/Warner Records"
"Apr 13, 2023","Tigers Jaw",Gypsy,"Run For Cover Subscription Singles Series #3 - Single","Run For Cover Records X Tigers Jaw"
"Apr 13, 2023","A Flock Of Seagulls","Space Age Love Song","A Flock of Seagulls",Jive
"Apr 13, 2023","Sugar Candy Mountain",L'anamour,"L'anamour - Single","We Speak Records"
"Apr 13, 2023","Yeah Yeah Yeahs",Fleez,"Cool It Down","Secretly Canadian"
"Apr 13, 2023","Saint Motel","Something About Us","Spotify Singles",
"Apr 13, 2023","Alex Lahey","You Don't Think You Like People Like Me","B-Grade University - EP","Dead Oceans"
"Apr 13, 2023",Selena,"No Quiero Saber (1990 Version)","Ven Conmigo","EMI Latin (LAT)"
"Apr 13, 2023","Talking Heads","I Zimbra","Fear of Music","Warner Records"
"Apr 13, 2023","Cobra Man","We Got it Goin On","Toxic Planet",Goner
"Apr 13, 2023","Grateful Dead","Shakedown Street","Shakedown Street","Grateful Dead/Rhino"
