"Playlist Title","Pachanga! #20"
"DJ Name",PJ
"Playlist Start Date","Jun 22, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Jun 22, 2023","The Dip",Chanterelle,"Won't Be Coming Back - EP","The Dip"
"Jun 22, 2023","Talking Heads","Found a Job (Live)","Stop Making Sense (Live) [Special New Edition]","Warner Records"
"Jun 22, 2023",Vulfpeck,"Back Pocket","Thrill of the Arts","Vulf Records"
"Jun 22, 2023","Grady Strange","I Listen to Your Radio Show at Night","Not Very Strange at All - EP","Uncle Jazzy's Favorite"
"Jun 22, 2023","Orville Peck","Take You Back (The Iron Hoof Cattle Call)",Pony,"Sub Pop Records"
"Jun 22, 2023","Kurt Vile","Rollin With the Flow","Bottle It In",Matador
"Jun 22, 2023",Cataldo,"America, Goodnight!",Keepers,"Red Pepper Records"
"Jun 22, 2023","The Dip","Sure Don't Miss You","The Dip Delivers","The Dip"
"Jun 22, 2023",Badfinger,"Day After Day","Straight Up (Remastered)","EMI Catalogue"
"Jun 22, 2023","Dr. Dog","Can She Dance","Critical 7"" - Single","We Buy Gold Records"
"Jun 22, 2023","Fun Boy Three","We're Having All the Fun",Waiting,"Chrysalis Records"
"Jun 22, 2023",Blondie,"Atomic (Remastered)","Greatest Hits","Universal Music Mexico"
"Jun 22, 2023","Dougie Poole","Vaping on the Job","The Freelancer's Blues","Wharf Cat Records"
"Jun 22, 2023","BC Camplight","The Last Rotation of Earth","The Last Rotation of Earth","Bella Union"
"Jun 22, 2023","The Nude Party",Records,"The Nude Party","New West Records"
"Jun 22, 2023","Pigeons Playing Ping Pong",Water,Perspective,"No Coincidence Records"
