"Playlist Title","Pachanga! #41"
"DJ Name",PJ
"Playlist Start Date","Mar 7, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Mar 7, 2024","The Smallest Bear With The Biggest Paws","It's Good To Be Home Now","It's Good To Be Home Now - Single","It's Good To Be A Record Label Now"
"Mar 7, 2024","Alex G",Gnaw,Race,Self-Released
"Mar 7, 2024","Bee Gees",Grease,"One Night Only (Live)","Bee Gees Catalog"
"Mar 7, 2024",Pavement,"Harness Your Hopes (B-side)","Brighten the Corners: Nicene Creedence Ed.",Matador
"Mar 7, 2024","Matt Duncan","The Keys","Soft Times","Too Lost"
"Mar 7, 2024","Car Seat Headrest","Drugs With Friends (Live at La Lune des Pirates, Amiens, France)","Commit Yourself Completely (Live)",Matador
"Mar 7, 2024","David Bowie",Sorrow,"PinUps (2015 Remaster)","Parlophone UK"
"Mar 7, 2024","Joe Hertler & The Rainbow Seekers","Old Love",Pluto,"Nettwerk Music Group"
"Mar 7, 2024",Cheekface,"Dry Heat/Nice Town","Therapy Island","New Professor Music"
"Mar 7, 2024","Iggy Pop","Livin' On the Edge of the Night","Brick By Brick","Virgin Records"
"Mar 7, 2024","Kid Bloom","More Life","Inner Light (Phase 1) - EP","Position Music"
"Mar 7, 2024","Jean Carn","Free Love","Jean Carn","Legacy Recordings"
"Mar 7, 2024","Fleetwood Mac","Over My Head (Live at Campus Stadium, University of California, Santa Barbara, CA 5/2/1976)","Fleetwood Mac (Deluxe)","Rhino/Warner Records"
"Mar 7, 2024",Eisenach,"Modern Day Mixtape","Transitory Places - EP",eisenach
"Mar 7, 2024","TV Girl","Birds Dont Sing","French Exit","TV Girl"
"Mar 7, 2024","Rainbow Kitten Surprise","When It Lands","How To: Friend, Love, Freefall","Elektra (NEK)"
