"Playlist Title","Pachanga! #36"
"DJ Name",PJ
"Playlist Start Date","Jan 25, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Jan 25, 2024","Luna Luna","Flower Moon","Flower Moon","Luna Luna"
"Jan 25, 2024","Surely Tempo",Paz,"Paz - Single",Numlock
"Jan 25, 2024","Kevin Kaarl","me va a costar","me va a costar - Single","Kevin Kaarl"
"Jan 25, 2024","The Altons","In the Meantime","In the Meantime",Cosmica
"Jan 25, 2024","Midnight Magic","Beam Me Up","Walking the Midnight Streets","Midnight Magic"
"Jan 25, 2024","Talking Heads","Moon Rocks (2005 Remastered)","Speaking In Tongues (Bonus Track Version)","Rhino/Warner Records"
"Jan 25, 2024",Reptaliens,"Shuggie II",VALIS,"Captured Tracks"
"Jan 25, 2024","Shannon & The Clams",Ozma,"Dreams in the Rat House","Hardly Art"
"Jan 25, 2024",Pulp,"Disco 2000","Different Class","Universal-Island Records Ltd."
"Jan 25, 2024","Jeff Lynne","Lift Me Up","Armchair Theatre","Legacy Recordings"
"Jan 25, 2024","Sean Nicholas Savage","Disco Dancing","Disco Dancing - Single","Arbutus Records"
"Jan 25, 2024","Kid Bloom","Dead Butterflies","Dead Butterflies - Single","Position Music"
"Jan 25, 2024","David Bowie","What in the World","Low (2017 Remaster)","Parlophone UK"
