"Playlist Title","Pachanga! #56"
"DJ Name",PJ
"Playlist Start Date","Sep 19, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Sep 19, 2024","David Byrne","Miss America (remixed by Cecco Music)","The Visible Man","Luaka Bop"
"Sep 19, 2024","The New Pornographers","Think About Me","Just Tell Me That You Want Me - A Tribute to Fleetwood Mac","Hear Music"
"Sep 19, 2024",Cuco,"Time Machine","Fantasy Gateway","Walk The Trail, Inc under exclusive license to Interscope Records"
"Sep 19, 2024","Mt. Joy","Highway Queen (feat. Maren Morris)","Highway Queen (feat. Maren Morris) - Single",
"Sep 19, 2024","Orville Peck","Death Valley High (feat. Beck)",Stampede,
"Sep 19, 2024","Mott The Hoople","American Pie / The Golden Age of Rock 'N' Roll (Live)","Mott the Hoople: Live (30th Anniversary Edition)",Columbia
"Sep 19, 2024","Ginger Root","Giddy Up",SHINBANGUMI,"Ghostly International"
"Sep 19, 2024","Har Mar Superstar","It Was Only Dancing (Sex)","Best Summer Ever","Cult Records"
"Sep 19, 2024","Echo & The Bunnymen","Jimmy Brown (Early Version of ""Bring On the Dancing Horses"")","Echo & the Bunnymen (Expanded Version)","Warner Classics UK"
"Sep 19, 2024","Electric Light Orchestra","Boy Blue",Eldorado,Epic/Legacy
"Sep 19, 2024","Bay City Rollers","You Made Me Believe In Magic","It's a Game",Arista
"Sep 19, 2024","The Dip","Doing the Thing","Love Direction","Dualtone Music Group"
"Sep 19, 2024","Lou Reed","Romeo Had Juliette","New York","Rhino/Warner Records"
"Sep 19, 2024","Babe Ruth","Wells Fargo","First Base (Remastered)","Parlophone UK"
"Sep 19, 2024","Andy Shauf","Wasted On You",Norm,Anti/Epitaph
