"Playlist Title","Pachanga! #19"
"DJ Name",PJ
"Playlist Start Date","Jun 15, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Jun 15, 2023","Penguin Cafe Orchestra","The Ecstasy of Dancing Fleas (2008 Remaster)","Penguin Café Orchestra","Virgin Catalogue"
"Jun 15, 2023","The Cactus Blossoms","Happy Man","Happy Man - Single","Walkie Talkie Records"
"Jun 15, 2023","Video Age","Days to Remember","Pop Therapy","Inflated Records"
"Jun 15, 2023",Bully,"Lose You (feat. Soccer Mommy)","Lucky for You","Sub Pop Records"
"Jun 15, 2023",Fanny,"Hey Bulldog","First Time In a Long Time: The Reprise Recordings","Rhino/Warner Records"
"Jun 15, 2023","David Byrne","Like Humans Do","Look into the Eyeball","Luaka Bop"
"Jun 15, 2023","The Oceanographers","Catch Me","The Oceanographers","The Oceanographers"
"Jun 15, 2023","Electric Light Orchestra","So Fine","A New World Record",Epic/Legacy
"Jun 15, 2023",America,"Sister Golden Hair (Demo)","50th Anniversary: The Collection","Rhino/Warner Records"
"Jun 15, 2023","Rita Wilson","Fire (feat. Elvis Costello)","Rita Wilson Now & Forever: Duets","Sing It Loud"
"Jun 15, 2023",Ravennas,Butterfly,"Butterfly - Single","Ravennas Music 2018"
"Jun 15, 2023","Babe Rainbow","Peace Blossom Boogy","The Babe Rainbow","Eureka Music"
"Jun 15, 2023",Boygenius,$20,Single,
"Jun 15, 2023","Hippo Campus",baseball,"warm glow - Single","Grand Jury (RED)"
"Jun 15, 2023",Yabadum,Winter,"Careful Kid - EP",Yabadum
"Jun 15, 2023",Dayglow,"Can I Call You Tonight?","Can I Call You Tonight? - Single",Dayglow
