"Playlist Title","Pachanga! #60"
"DJ Name",PJ
"Playlist Start Date","Nov 7, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Nov 7, 2024","Ocote Soul Sounds & Adrian Quesada","The Grand Elixir","The Alchemist Manifesto","Shock Records"
"Nov 7, 2024","John Lennon","Hold On","John Lennon/Plastic Ono Band (Remastered)","Parlophone Catalogue"
"Nov 7, 2024","Car Seat Headrest","Sober to Death (Live at Brooklyn Steel)","Faces From the Masquerade",Matador
"Nov 7, 2024","Michael Nau","Painting a Wall",Accompany,"Karma Chief Records"
"Nov 7, 2024","The Strokes","I Can't Win","Room On Fire","RCA Records Label"
"Nov 7, 2024",ABBA,"People Need Love","The Singles (The First Fifty Years)","Polar Music International AB"
"Nov 7, 2024","David Bowie","Song for Bob Dylan (2015 Remaster)","Five Years 1969-1973","Parlophone UK"
"Nov 7, 2024",Thumpasaurus,"Struttin' (Live)","Gas Cheaper Here (Refueled)","Space Barn Continuum"
"Nov 7, 2024","Declan McKenna",Champagne,"Champagne / That's Life - Single",
"Nov 7, 2024",Selena,Sabes,"MOONCHILD MIXES","WEA Latina"
"Nov 7, 2024","The Last Dinner Party","Wicked Game (Live from Showbox SoDo, Seattle)","Prelude to Ecstacy: Acoustincs & Covers",
"Nov 7, 2024","Triste Janero","Without Him","Meet Triste Janero","Varese Sarabande"
"Nov 7, 2024","Billy Joel","Big Shot","52nd Street",Columbia
"Nov 7, 2024","Tanya Davis","Eulogy for You and Me","Clocks and Hearts Keep Going","Tanya Davis"
"Nov 7, 2024",Saintseneca,"Only the Young Die Good","Dark Arc",Anti/Epitaph
"Nov 7, 2024","Lindsey Buckingham & Christine McVie","In My World","Lindsey Buckingham Christine McVie","Atlantic Records"
