"Playlist Title","Pachanga! #66"
"DJ Name",PJ
"Playlist Start Date","Mar 27, 2025"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Mar 27, 2025","Alan Hawkshaw","Girl in a Sportscar","Kpm 1000 Series: Friendly Faces","KPM 1000 LP Series"
"Mar 27, 2025","Neal Francis","Broken Glass (feat. Say She She)","Return To Zero","ATO Records"
"Mar 27, 2025","Ray LaMontagne","Strong Enough",Monovision,"RCA Records Label"
"Mar 27, 2025","Ax and the Hatchetmen",Goofy,"Bear on the Roof - EP","Ax and the Hatchetmen"
"Mar 27, 2025","The Psychedelic Furs","Heartbreak Beat","Midnight to Midnight",Columbia
"Mar 27, 2025","Elton John","Swing For The Fences (feat. Brandi Carlile)","Swing For The Fences","WAB Recording Limited"
"Mar 27, 2025",Eisenach,"Skip to the Chorus",Eisenach,eisenach
"Mar 27, 2025","Electric Light Orchestra","Laredo Tornado",Eldorado,Epic/Legacy
"Mar 27, 2025","Big Star","O, My Soul","Radio City",Stax
"Mar 27, 2025","The Backseat Lovers","Out of Tune","Out of Tune - Single","The Backseat Lovers"
"Mar 27, 2025","Joy Division","Transmission (2020 Digital Remaster)","Transmission (2020 Digital Remaster) - Single","WM UK"
"Mar 27, 2025","Classics IV","Stormy (feat. Dennis Yost)","Mamas and Papas/Soul Train (feat. Dennis Yost)","CAPITOL CATALOG MKT (C92)"
"Mar 27, 2025","Violent Femmes","Gone Daddy Gone","Violent Femmes","Craft Recordings"
"Mar 27, 2025","The Velvet Underground","Lonesome Cowboy Bill","Loaded (Remastered)","Rhino Atlantic"
"Mar 27, 2025","Motel Radio","Fly Solo","Siesta Del Sol","Motel Radio"
