"Playlist Title","Pachanga! #10"
"DJ Name",PJ
"Playlist Start Date","Mar 30, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Mar 30, 2023","Luna Luna","Flower Moon","Flower Moon","Luna Luna"
"Mar 30, 2023","Adrian Quesada","Noble Metals","Jaguar Sound","ATO Records"
"Mar 30, 2023","Paco Versailles","Ventura Highway",Dancemenco,"Paco Versailles"
"Mar 30, 2023","Omar Apollo",Ugotme,"Ugotme - Single","Omar Apollo"
"Mar 30, 2023","The Smiths",Panic,"Louder Than Bombs",Rhino
"Mar 30, 2023",Samia,"The Promise (feat. Jelani Aryeh)","Scout - EP","Tugboat Records"
"Mar 30, 2023","Hey Steve","Miss Prince","The Prince & the Duke - EP","Republican Hair"
"Mar 30, 2023","Hey Cowboy!","Cherry Jerry Citrus","Get in My Fanny Pack and Let's Go","Hey Cowboy!"
"Mar 30, 2023","David Byrne","Loco de Amor","Rei Momo","Warner Records"
"Mar 30, 2023","Luna Luna","One Thing","Flower Moon","Luna Luna"
"Mar 30, 2023",Tacocat,"Crimson Wave",NVM,"Hardly Art"
"Mar 30, 2023",Rubblebucket,"What a Fool Believes","Save Charlie","Communion Records - Rubblebucket"
"Mar 30, 2023","Car Seat Headrest",Bodys,"Twin Fantasy",Matador
"Mar 30, 2023","Kate Fagan","I Don't Wanna Be Too Cool","I Don't Wanna Be Too Cool - EP","Manufactured Recordings"
"Mar 30, 2023","Neal Francis","Can't Stop the Rain","In Plain Sight","ATO Records / Fontana North"
"Mar 30, 2023","Sammy Rae & The Friends","The Feeling","The Good Life - EP","Nettwerk Music Group"
"Mar 30, 2023","The Psychedelic Furs","Love My Way","Forever Now (2002 Bonus Tracks Edition)",Columbia
