"Playlist Title","Pachanga! #29"
"DJ Name",PJ
"Playlist Start Date","Oct 12, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Oct 12, 2023","The Dip",Chanterelle,"Won't Be Coming Back - EP","The Dip"
"Oct 12, 2023","The Alan Parsons Project","Eye In the Sky","Eye In the Sky",Arista/Legacy
"Oct 12, 2023","Public Service Broadcasting",Go!,"The Race For Space","Test Card Recordings"
"Oct 12, 2023","Luna Luna","Early Morning","Flower Moon","Luna Luna"
"Oct 12, 2023","Warren Zevon","Werewolves of London","Excitable Boy",Rhino/Elektra
"Oct 12, 2023","Portugal. The Man","People Say","The Satanic Satanist","Approaching AIRballoons"
"Oct 12, 2023","The Wake","Pale Spectre","Here Comes Everybody + Singles","LTM Publishing"
"Oct 12, 2023","Bruce Springsteen","Streets of Philadelphia (Live at Sony Music Studios, New York, NY - May 1995)","Hungry Heart - EP",Columbia/Legacy
"Oct 12, 2023","Sammy Rae & The Friends","Let’s Throw a Party! (Live at the Fillmore Silver Spring)","The If It All Goes South Tour (Live)","Nettwerk Music Group"
"Oct 12, 2023","The Waterboys","This Is the Sea","The Whole of the Moon: The Music of Mike Scott & the Waterboys","Chrysalis Records"
"Oct 12, 2023","Lady Denim","Cherry Limeade","Cherry Limeade - Single","Aggie Records"
"Oct 12, 2023","Paramore & Remi Wolf","You First (Re: Remi Wolf)","Re: This Is Why",
"Oct 12, 2023","Winnetka Bowling League","Slow Dances","Cloudy With a Chance of Sun - EP","RCA Records Label"
"Oct 12, 2023","Mac DeMarco & Ryan Paris","Simply Paradise","Simply Paradise - Single",
"Oct 12, 2023","Talking Heads","Girlfriend is Better (Live) [2023 Remaster]","Stop Making Sense (Deluxe Edition) [Live]","Rhino/Warner Records"
