"Playlist Title","Pachanga! #11"
"DJ Name",PJ
"Playlist Start Date","Apr 6, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Apr 6, 2023","Masayoshi Takanaka",Breezin',"On Guitar",INVITATION
"Apr 6, 2023",Shinyribs,"Who Built the Moon","Well After Awhile","Nine Mile Records"
"Apr 6, 2023",Phish,"Psycho Killer (Live)","Live Phish 12.07.97 (Ervin J. Nutter Center - Dayton, OH)","JEMP Records"
"Apr 6, 2023","Tomoko Aran","Midnight Pretenders",浮遊空間,"WM Japan"
"Apr 6, 2023",Cheekface,"Popular 2","Popular 2 - Single",
"Apr 6, 2023","David Bowie","Sound and Vision","Low (2017 Remaster)","Parlophone UK"
"Apr 6, 2023",Exile,"Take Me Down","The Complete Collection","Curb Records"
"Apr 6, 2023","Fleet Foxes","Ragged Wood","Fleet Foxes","Sub Pop Records"
"Apr 6, 2023","Brenton Wood","Gimme Little Sign","Oogum Boogum","The Bicycle Music Company"
"Apr 6, 2023","Belle and Sebastian","The Blues Are Still Blue","The Blues Are Still Blue - EP","Rough Trade"
"Apr 6, 2023",Wings,"Love Is Strange","Wild Life (Archive Collection)","Paul McCartney Catalog"
"Apr 6, 2023","Remi Wolf","Buzz Me In",Juno,"Island Records"
"Apr 6, 2023",Drugdealer,"Lip Service","Lip Service - Single",
"Apr 6, 2023","Pigeons Playing Ping Pong","Dawn a New Day",Presto,"Pigeons Playing Ping Pong"
