"Playlist Title","Pachanga! #45"
"DJ Name",PJ
"Playlist Start Date","Apr 18, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Apr 18, 2024",Vulfpeck,1612,"Fugue State - EP","Vulf Records"
"Apr 18, 2024",Darlingside,1979,"Whippoorwill - EP","More Doug Records"
"Apr 18, 2024","Jeff Rosenstock",9/10,POST-,"Polyvinyl Records"
"Apr 18, 2024",Caamp,26,"26 - Single",Caamp
"Apr 18, 2024","David Byrne",50212,"Grown Backwards (Deluxe Edition)",Nonesuch
"Apr 18, 2024","Peach Pit",Seventeen,"Sweet FA - EP",Columbia
"Apr 18, 2024","Arctic Monkeys",505,"Favourite Worst Nightmare","Domino/Warner Records"
"Apr 18, 2024",Gorillaz,5/4,Gorillaz,"Parlophone UK"
"Apr 18, 2024",Surfaces,"24 / 7 / 365",Surf,"Surfaces, LLC / TenThousand Projects, LLC"
"Apr 18, 2024","Omar Apollo","Dos Uno Nueve (219)",Apolonio,"Warner Records"
"Apr 18, 2024","Dave Matthews Band",#41,Crash,"Bama Rags Recordings"
"Apr 18, 2024",Prince,"1999 (7"" Stereo Edit) [2019 Remaster]","1999 (Super Deluxe Edition)","Warner Records"
"Apr 18, 2024",Radiohead,"2 + 2 = 5","Hail to the Thief","XL Recordings"
"Apr 18, 2024","Death Cab for Cutie",405,"We Have the Facts and We're Voting Yes","Barsuk Records"
"Apr 18, 2024","Game Theory",24,"Real Nighttime","Omnivore Recordings"
