"Playlist Title","Pachanga! #74"
"DJ Name",PJ
"Playlist Start Date","Jun 19, 2025"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Jun 19, 2025","Quarters of Change","Heaven Bound",Portraits,"300 Entertainment"
"Jun 19, 2025","The Moody Blues","22,000 Days","Long Distance Voyager (Expanded)","UMC (Universal Music Catalogue)"
"Jun 19, 2025",GOOSE,"No California (Live)","Live at the Greek Theatre","No Coincidence Records"
"Jun 19, 2025","Carole King","Back to California",Music,Epic
"Jun 19, 2025","LCD Soundsystem","home/i want your love - Recorded at Electric Lady Studios NYC","Spotify Singles","DFA Records/Columbia"
"Jun 19, 2025","Tropa Magica","Feels Like Tijuana","Feels Like Tijuana - Single","Wampiro Records"
"Jun 19, 2025","The Sha La Das","Okay My Love","Love In the Wind","Daptone Records"
"Jun 19, 2025","The Clash","Overpowered By Funk","Combat Rock",Columbia
"Jun 19, 2025","Sammy Rae & The Friends","Lay All Your Love On Me","Lay All Your Love On Me - Single","Sammy Rae Music"
"Jun 19, 2025","The Groovy Nobody",Sunsick,Solarium,"The Groovy Nobody"
"Jun 19, 2025","Rattlesnake Milk","Midnight Train","Chicken Fried Snake","Feels So Good Records"
"Jun 19, 2025","Los Belkings","Sabor Dulce","Los Belkings (Ayer y Hoy)",XM
