"Playlist Title","Pachanga! #28"
"DJ Name",PJ
"Playlist Start Date","Oct 5, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Oct 5, 2023","The Dip",Chanterelle,"Won't Be Coming Back - EP","The Dip"
"Oct 5, 2023","Sir Woman","Making Love","Making Love - Single","Sir Woman"
"Oct 5, 2023",ABBA,"Rock Me",Abba,
"Oct 5, 2023",Rebounder,"Hold On, We’re Going Home","Remixes - EP","rebounder from new york"
"Oct 5, 2023","Neal Francis","Say Your Prayers (Live)","Say Your Prayers (Live) - Single","ATO Records"
"Oct 5, 2023","The Cure","Grinding Halt","Three Imaginary Boys",Rhino/Elektra
"Oct 5, 2023","Black Pumas",Colors,"Black Pumas","ATO Records"
"Oct 5, 2023","Dr. Dog","These Days","Be the Void (Deluxe Edition)",Anti/Epitaph
"Oct 5, 2023","Charley Crockett","I'm Just a Clown","The Man from Waco","Son of Davy"
"Oct 5, 2023","De Lux","When Your Life Feels Like a Loss",Generation,"Innovative Leisure"
"Oct 5, 2023","Tanya Davis","Eulogy for You and Me","Clocks and Hearts Keep Going","Tanya Davis"
"Oct 5, 2023","The Box Tops","The Letter","The Letter / Neon Rainbow",Arista/Legacy
"Oct 5, 2023","Red Ribbon","Your Car","Dark Party","Danger Collective Records"
"Oct 5, 2023",Wilco,"California Stars",Single,
"Oct 5, 2023","Talking Heads","(Nothing But) Flowers",Naked,"Warner Records"
