"Playlist Title","Pachanga! #25"
"DJ Name",PJ
"Playlist Start Date","Aug 10, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Aug 10, 2023","Geoff & Maria Muldaur",Brazil,"Pottery Pie","Rhino/Warner Records"
"Aug 10, 2023",GOOSE,Hungersite,Dripfield,"No Coincidence Records"
"Aug 10, 2023","Nick Drake","Hazey Jane II","The Endless Coloured Ways: The Songs of Nick Drake","Chrysalis Records"
"Aug 10, 2023","Certainly So","Foreign Ties","Future Self Only Dreams","Beef Records"
"Aug 10, 2023","Margo Cilker","Keep It on A Burner","Valley Of Heart's Delight","Fluff and Gravy"
"Aug 10, 2023","The Monkees","Me & Magdalena (Version 2)","Good Times! (Deluxe Edition)",Rhino
"Aug 10, 2023","David Bowie","Five Years (Live)","A Reality Tour (Live)",Rhino
"Aug 10, 2023",Feet,"Changing My Mind Again","Changing My Mind Again - Single","Submarine Cat Records"
"Aug 10, 2023","Psychadelic Porn Crumpets","Found God in a Tomato","High Visceral, Pt. 1",
"Aug 10, 2023","Grizzly Bear","Two Weeks",Veckatimest,"Warp Records"
"Aug 10, 2023","Girl and Girl","Dance Now","Divorce +","Sub Pop Records"
"Aug 10, 2023","Cass Elliot","Make Your Own Kind of Music","Mama's Big Ones",Geffen
"Aug 10, 2023","David Byrne",Dreamworld,"Grown Backwards (Deluxe Edition)",Nonesuch
