"Playlist Title","Pachanga! #24"
"DJ Name",PJ
"Playlist Start Date","Aug 3, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Aug 3, 2023","Monster Rally","Sister Owls","Adventures on the Floating Island","Monster Rally"
"Aug 3, 2023","Sammy Rae & The Friends","Denim Jacket","Denim Jacket - Single","Nettwerk Music Group"
"Aug 3, 2023","Declan McKenna",Sympathy,"Sympathy - Single","Tomplicated Inc."
"Aug 3, 2023","Talking Heads","Cities (Live) [2023 Remaster]","Stop Making Sense (Deluxe Edition) [Live]","Rhino/Warner Records"
"Aug 3, 2023",Voxtrot,"Raised By Wolves","Raised By Wolves - EP","Cult Hero Records"
"Aug 3, 2023","Naked Giants","Take a Chance","The Shadow","New West Records"
"Aug 3, 2023","David Bowie","All the Young Dudes (Live)","A Reality Tour (Live)",Rhino
"Aug 3, 2023",Alvvays,"Easy On Your Own?","Blue Rev","Polyvinyl Records"
"Aug 3, 2023","Peach Pit","Up Granville","From 2 to 3",Columbia
"Aug 3, 2023","Bruce Springsteen","Tenth Avenue Freeze-Out","Born to Run",Columbia
"Aug 3, 2023","The Cure","10:15 Saturday Night","Three Imaginary Boys",Rhino/Elektra
"Aug 3, 2023","Ghetto Brothers","Got This Happy Feeling","Power Fuerza","Salsa Records"
"Aug 3, 2023","Glass Animals","Pork Soda","Pork Soda (Radio Edit) - Single","Wolf Tone"
"Aug 3, 2023","Dr. Dog","Where'd All the Time Go?","Shame, Shame (Deluxe Edition)",Anti/Epitaph
"Aug 3, 2023","Lou Reed","Disco Mystic","The Bells",Arista
"Aug 3, 2023","Jimi Hendrix","Castles Made of Sand","Fire: The Jimi Hendrix Collection","Legacy Recordings"
