"Playlist Title","Pachanga! #32"
"DJ Name",PJ
"Playlist Start Date","Nov 2, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Nov 2, 2023",Khruangbin,"Dern Kala","The Universe Smiles Upon You","Late Night Tales"
"Nov 2, 2023","The Cure","The Lovecats (Bestival Live 2011)","Bestival Live 2011","Sunday Best Recordings"
"Nov 2, 2023","Black Pumas","Ice Cream (Pay Phone)","Chronicles of a Diamond","ATO Records"
"Nov 2, 2023","Jeff Rosenstock","TV Stars",POST-,"Polyvinyl Records"
"Nov 2, 2023","Charlie Parr","Rocky Raccoon (Feat. Nicholas Mrozinski)","Minnesota Beatle Project, Vol. 3","Vega Productions"
"Nov 2, 2023","Peter Sarstedt","Frozen Orange Juice","Where Do You Go to (My Lovely)","Red Cab Records"
"Nov 2, 2023","Orville Peck","The Curse of the Blackened Eye",Bronco,Columbia
"Nov 2, 2023",ABBA,Soldiers,"The Visitors (Deluxe Edition)","Polar Music International AB"
"Nov 2, 2023",Selena,"God's Child (Baila Conmigo)","Dreaming of You","Capitol Latin"
"Nov 2, 2023","The Get Up Kids","Suffragette City",Eudora,"Vagrant Records"
"Nov 2, 2023",Scarves,Collapse,"Dinner Dates for the End of Days","Good Eye Records"
"Nov 2, 2023","Bette Midler","Beast of Burden","No Frills","Atlantic Records"
"Nov 2, 2023","Lou Reed","Charley's Girl","Coney Island Baby","RCA Records Label"
"Nov 2, 2023",FLEECE,"Stay At Home Boy","Stay At Home Boy - Single",
"Nov 2, 2023",Cuco,Dontmakemefallinlove,"Chiquito - EP",Cuco
"Nov 2, 2023","Electric Light Orchestra",Starlight,"Out of the Blue",Epic/Legacy
