"Playlist Title","Pachanga! #43"
"DJ Name",PJ
"Playlist Start Date","Apr 4, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Apr 4, 2024",Devo,"R U Experienced?",Shout,"Warner Records"
"Apr 4, 2024","Lake Street Dive","You're Still The One","Fun Machine: The Sequel - EP",Fantasy
"Apr 4, 2024","The Hotrats","The Lovecats","Turn Ons",Edsel
"Apr 4, 2024","Black Pumas","Sugar Man","Colors (Hypnotic Brass) b/w Sugar Man - Single","ATO Records"
"Apr 4, 2024","Kishi Bashi","The Only Living Boy in New York","Spotify Singles",
"Apr 4, 2024",moe.,"In a Big Country",Dither,"Fatboy Records"
"Apr 4, 2024","Guns N' Roses","Knockin' On Heaven's Door","Use Your Illusion II","Guns N Roses P&D"
"Apr 4, 2024","Joe Jackson","Oh Well","Laughter & Lust","Virgin Records"
"Apr 4, 2024","Imelda May","Tainted Love","More Mayhem","Decca (UMO)"
"Apr 4, 2024","Sunflower Bean","Harvest Moon","From the Basement - EP","Fat Possum"
"Apr 4, 2024","Juan Gabriel","Have You Ever Seen the Rain? (Gracias al Sol)","Have You Ever Seen the Rain? (Gracias al Sol) - Single","Concord Picante"
"Apr 4, 2024",Blondie,"Llamame (Call Me)","Call Me",
"Apr 4, 2024","Orville Peck","Smalltown Boy","Smalltown Boy - Single",Columbia
"Apr 4, 2024","Toots & The Maytals","Take Me Home Country Road","Take Me Home Country Road - Single","Cleopatra Records"
