"Playlist Title","Pachanga! #65"
"DJ Name",PJ
"Playlist Start Date","Mar 13, 2025"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Mar 13, 2025","Steely Dan",Bodhisattva,"Countdown To Ecstacy","UMG Recordings, Inc."
"Mar 13, 2025","Quarters of Change",Kiwi,"Kiwi (feat. Juice) - Single","300 Entertainment"
"Mar 13, 2025","Alessi Brothers","All For A Reason","All For A Reason",A&M
"Mar 13, 2025",Pond,"America's Cup","9 (Deluxe Edition)","Spinning Top Records"
"Mar 13, 2025","The Strokes","Fast Animals","Fast Animals - Single","RCA Records Label"
"Mar 13, 2025",Geowulf,"Don't Talk About You","Great Big Blue","37 adventures"
"Mar 13, 2025","Deep Sea Diver","What Do I Know","Billboard Heart","Sub Pop Records"
"Mar 13, 2025","Orville Peck","The Hurtin' Kind",Stampede,"Warner Records"
"Mar 13, 2025",America,"Love on the Vine","View from the Ground","Capitol Records"
"Mar 13, 2025",Yellowbirds,"Mean Maybe","Songs From The Vanished Frontier","Sam Cohen Music"
"Mar 13, 2025","David Bowie",Rosalyn,"PinUps (2015 Remaster)","Parlophone UK"
"Mar 13, 2025","Sean Nicholas Savage","Metro Phenomenon",Screamo,"Arbutus Records"
"Mar 13, 2025","Malcolm Todd","Bleed (feat. Omar Apollo)","Bleed (feat. Omar Apollo)","Columbia Records"
"Mar 13, 2025","The Brook & The Bluff","Bad Bad News","This Could All Go Nowhere - EP","The Brook & The Bluff"
"Mar 13, 2025","Car Seat Headrest",Gethsemane,Gethsemane,"Matador Records"
