"Playlist Title","Pachanga! #16"
"DJ Name",PJ
"Playlist Start Date","May 11, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"May 11, 2023","The Beach Boys","Summer Means New Love (Remastered)","Instrumental Hits (Remastered)","Capitol Records"
"May 11, 2023","Talking Heads","Psycho Killer (Live)","Stop Making Sense (Live) [Special New Edition]","Warner Records"
"May 11, 2023","Remi Wolf","Grumpy Old Man (Live at Electric Lady)","Live at Electric Lady - EP","Island Records"
"May 11, 2023","Unknown Mortal Orchestra","That Life",V,Jagjaguwar
"May 11, 2023","The Shivas","You Make Me Wanna Die","You Know What to Do","Tender Loving Empire"
"May 11, 2023","Joy Division",Disorder,Still,Rhino
"May 11, 2023","The Wombats","Let's Dance to Joy Division","A Guide to Love, Loss & Desperation","Roadrunner Records"
"May 11, 2023",Wings,"Venus and Mars / Rock Show / Jet","Wings Over America (Live) [2013 Remaster]","Paul McCartney Catalog"
"May 11, 2023","Ginger Root",Loretta,"City Slicker - EP","Acrophase Records"
"May 11, 2023","Say She She","Pink Roses",Prism,"Karma Chief Records"
"May 11, 2023","The National","Tropic Morning News","First Two Pages of Frankenstein",4AD
"May 11, 2023","Matt Duncan",Beacon,Beacon,"Too Lost"
"May 11, 2023","Zac Brown Band","Blackbird (feat. Matt Mangano) [Live]","Pass the Jar (Live from the Fabulous Fox Theatre in Atlanta)","Home Grown Music"
