"Playlist Title","Pachanga! #49"
"DJ Name",PJ
"Playlist Start Date","Jun 6, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Jun 6, 2024",Khruangbin,Pelota,Mordechai,"Dead Oceans"
"Jun 6, 2024","Seals & Crofts","Diamond Girl","Diamond Girl","Rhino/Warner Records"
"Jun 6, 2024","Surely Tempo",Lies,"Days So Bitter, Yet So Sweet","Swept Under Records"
"Jun 6, 2024","The Youngbloods","Get Together","The Youngbloods","Legacy Recordings"
"Jun 6, 2024","Remi Wolf","Buzz Me In",Juno,"Island Records"
"Jun 6, 2024","The Waterboys","The Whole of the Moon (2004 Remaster)","This Is the Sea (Deluxe Version)","Chrysalis Records"
"Jun 6, 2024","Michael Kiwanuka","One More Night","Love & Hate","Polydor Records"
"Jun 6, 2024",America,"Another Try",Holiday,"Rhino/Warner Records"
"Jun 6, 2024","Boy & Bear","Old Town Blues","Harlequin Dream","Universal Music Australia"
"Jun 6, 2024",Wings,"Let 'Em In (Live)","Wings Over America (Live) [2013 Remaster]","Paul McCartney Catalog"
"Jun 6, 2024",Pulp,"Common People","Different Class (Deluxe Edition)","UMC (Universal Music Catalogue)"
"Jun 6, 2024","Ginger Root","City Slicker","City Slicker - EP","Acrophase Records"
"Jun 6, 2024","Angélique Kidjo","Crosseyed and Painless","Remain in Light",Kravenworks
"Jun 6, 2024","Declan McKenna","The Key to Life on Earth",Zeros,Tomplicated
"Jun 6, 2024",Cuco,Lonelylife,wannabewithu,Cuco
