"Playlist Title","Pachanga! #38"
"DJ Name",PJ
"Playlist Start Date","Feb 8, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Feb 8, 2024","The Cactus Blossoms","This Boy","Minnesota Beatle Project, Vol. 5","Vega Productions"
"Feb 8, 2024","Charlie Parr","Rocky Raccoon (Feat. Nicholas Mrozinski)","Minnesota Beatle Project, Vol. 3","Vega Productions"
"Feb 8, 2024","Cigarettes After Sex","Neon Moon","Neon Moon - Single","Spanish Prayers"
"Feb 8, 2024","Jeff Rosenstock","Harvest Moon (ft. Laura Stevenson)","Still Young - EP","Polyvinyl Records"
"Feb 8, 2024",Poison,"Suffragette City",Poison'd!,"Capitol Records"
"Feb 8, 2024","Juliana Hatfield",Xanadu,"Juliana Hatfield Sings Olivia Newton-John","American Laundromat Records"
"Feb 8, 2024","First Aid Kit","The Boys of Summer","The Boys of Summer - Single",Columbia
"Feb 8, 2024",Paramore,"Burning Down the House","Burning Down the House - Single",
"Feb 8, 2024","Lake Street Dive",Automatic,"Fun Machine: The Sequel - EP",Fantasy
"Feb 8, 2024","The Shadowboxers","More Than a Woman","More Than a Woman - Single","The Shadowboxers"
"Feb 8, 2024",Braid,"This Charming Man","Movie Music Vol. 2","Polyvinyl Records"
"Feb 8, 2024","Army Navy","Right Back Where We Started From","Army Navy","The Fever Zone"
"Feb 8, 2024",Brothertiger,"Head over Heels","Brothertiger Plays: Covers From That One Really Good '80s Band",Brothertiger
"Feb 8, 2024","Grateful Dead","Mama Tried (Live at Barton Hall, Cornell University, Ithaca, NY 5/8/77)","Cornell 5/8/77 (Live)","Grateful Dead/Rhino"
"Feb 8, 2024","Passion Pit",Dreams,Manners,Columbia
"Feb 8, 2024","Cris Delanno","West End Girls","Now and Forever","Bossa Nova 58"
