"Playlist Title","Pachanga! #62"
"DJ Name",PJ
"Playlist Start Date","Dec 5, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Dec 5, 2024","Mac DeMarco","Hey Cowgirl","Here Comes the Cowboy","Mac’s Record Label"
"Dec 5, 2024",Bread,"Fancy Dancer","Guitar Man","Elektra Asylum"
"Dec 5, 2024",Rubblebucket,"Swimming In The Light","Year Of The Banana","Egghunt Records"
"Dec 5, 2024",Stereolab,"Spark Plug","Emperor Tomato Ketchup","Duophonic / Warp Records"
"Dec 5, 2024","David Bowie","Hallo Spaceboy (Pet Shop Boys Remix)","Best of Bowie","Parlophone UK"
"Dec 5, 2024","Def Leppard","Personal Jesus (Recorded at Spotify Sutdios NYC)","Spotify Singles","Bludgeon Riffola Limited"
"Dec 5, 2024","illuminati hotties","Pool Hopping","Let Me Do One More","Snack Shack Tracks / Hopeless Records"
"Dec 5, 2024","Daniel Donato","Double Exposure",Reflector,"Retrace Music"
"Dec 5, 2024","The Replacements","I'll Be You","Don't Tell a Soul (Expanded Edition)","Rhino/Warner Records"
"Dec 5, 2024",Shinyribs,"Take Me to Lake Charles","Gulf Coast Museum","Mustard Lid Records"
"Dec 5, 2024","Post Animal",Ralphie,"When I Think of You in a Castle","Polyvinyl Records"
"Dec 5, 2024","The Band","Rag Mama Rag (Live)","Second Comin' (Live Chicago '83)","Summer Highway"
"Dec 5, 2024","The Apache Relay","White Light","Apache Relay","So Recordings"
"Dec 5, 2024","Mustard Service","Larkin's Parkin'","Variety Pack","Mustard Service"
"Dec 5, 2024",NRBQ,"Do You Feel It?",Scraps,"Red Rooster"
"Dec 5, 2024","The Redwalls","Colorful Revolution","Universal Blues","Princeton Lane Records"
