"Playlist Title","Pachanga! #54"
"DJ Name",PJ
"Playlist Start Date","Aug 29, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Aug 29, 2024","Talking Heads","The Democratic Circus",Naked,"Warner Records"
"Aug 29, 2024","Ginger Root","Only You",SHINBANGUMI,"Ghostly International"
"Aug 29, 2024","DOPE LEMON","Rose Pink Cadillac","Rose Pink Cadillac","BMG Rights Management (Australia) Pty Ltd."
"Aug 29, 2024","New Order","The Village","Power, Corruption & Lies","WM UK"
"Aug 29, 2024","Dierks Bentley","American Girl","American Girl - Single","Big Machine Records"
"Aug 29, 2024","The Cure","Close to Me (Closer Mix)","Mixed Up (Deluxe Edition)",Rhino/Elektra
"Aug 29, 2024","Remi Wolf","Frog Rock","Big Ideas","Remi Wolf PS"
"Aug 29, 2024","Neal Francis","She's a Winner",Changes,"Karma Chief Records"
"Aug 29, 2024",America,"Ride On (Live)","Live In Concert: Wildwood Springs",America
"Aug 29, 2024",Yabadum,Winter,"Careful Kid - EP",Yabadum
"Aug 29, 2024","Los Retros","Sweet Honey","Everlasting - EP","Stones Throw Records"
"Aug 29, 2024","The Traveling Wilburys","Poor House","The Traveling Wilburys, Vol. 3 (Remastered)","Concord Records"
"Aug 29, 2024","Public Service Broadcasting",Electra,"The Last Flight",
"Aug 29, 2024","Chastity Belt","I-90 Bridge","Live Laugh Love","Suicide Squeeze Records"
