"Playlist Title","Pachanga! #64"
"DJ Name",PJ
"Playlist Start Date","Mar 6, 2025"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Mar 6, 2025","Adrian Quesada","Hielo Seco (feat. Marc Ribot & Money Mark)","Boleros Psicodélicos","ATO Records / Fontana North"
"Mar 6, 2025","Tommy Newport",Tangerine,"Mister Domino","Artist Partner Group"
"Mar 6, 2025",Ace,Why,Five-A-Side,"Cavalcade Records Ltd"
"Mar 6, 2025","Deb Never","This Alive","This Alive - Single",
"Mar 6, 2025","Electric Light Orchestra","Night In the City","Out of the Blue",Epic/Legacy
"Mar 6, 2025","Marlon Funaki","Get Out of My Face","Get Out of My Face - Single","Bubble Gum"
"Mar 6, 2025","Talking Heads","(Nothing But) Flowers",Naked,"Warner Records"
"Mar 6, 2025","Wall of Voodoo","Mexican Radio","Guilty Pleasures","EMI Music Canada"
"Mar 6, 2025","Cory Wong","Ready (feat. Ben Rector)","The Lucky One","Roundwound Media, LLC."
"Mar 6, 2025","Holy Wave","Time Crisis Too","That Guy b/w Time Crisis Too - Single","Suicide Squeeze Records"
"Mar 6, 2025","4 Non Blondes",Train,"Bigger, Better, Faster, More!",Interscope
"Mar 6, 2025","The Sheepdogs",Nobody,"Changing Colours","Dine Alone Records"
"Mar 6, 2025","Nick Lowe","I Love the Sound of Breaking Glass","Jesus of Cool (Deluxe Edition)","Proper Records Ltd"
"Mar 6, 2025","Dent May","Meet Me In the Garden","The Good Feeling Music of Dent May & His Magnificent Ukulele","Paw Tracks"
"Mar 6, 2025","Remi Wolf","Disco Man (Little Dragon Remix)","We Love Dogs!","Island Records"
"Mar 6, 2025","Los Fabulosos Cadillacs","La Luz del Ritmo","La Luz del Ritmo",Ariola
