"Playlist Title","Pachanga! #52"
"DJ Name",PJ
"Playlist Start Date","Aug 8, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Aug 8, 2024","Jiro Inagaki and His Soul Media",Breeze,"Funky Stuff","Nippon Columbia Co., Ltd./NIPPONOPHONE"
"Aug 8, 2024","Talking Heads","Psycho Killer","Talking Heads: 77","Warner Records"
"Aug 8, 2024","Austin Weber","Using the Internet for French","Love Songs for No One","Specific Northwest"
"Aug 8, 2024","The Salt Collective","Asylum (feat. Matthew Caws & Juliana Hatfield)",Life,"Propeller Sound Recordings"
"Aug 8, 2024","Tahiti 80",Heartbeat,Puzzle,Victor
"Aug 8, 2024","La Femme",Sácatela,"Teatro Lúcido","Disque Pointu"
"Aug 8, 2024","TV Girl",Anjela,"French Exit","TV Girl"
"Aug 8, 2024","Sugar Candy Mountain",L'anamour,"L'anamour - Single","We Speak Records"
"Aug 8, 2024","San Cisco","Get Lucky (triple j Like A Version)","Get Lucky (triple j Like A Version) - Single","triple j"
"Aug 8, 2024",Supertramp,"Crime Of The Century - Live At Pavilion de Paris/1979",Paris,
"Aug 8, 2024","Car Seat Headrest","Bodys (Live at La Lune des Pirates, Amiens, France)","Commit Yourself Completely (Live)",Matador
"Aug 8, 2024","David Bowie","Can't Help Thinking About Me (Live at the Elysée Montmartre, Paris on 14th October, 1999)","Something in the Air (Live Paris 99)",Rhino/Parlophone
"Aug 8, 2024","Martin Circus",Marylène,Story,Vogue
"Aug 8, 2024","Electric Light Orchestra","Hold On Tight",Time,Epic/Legacy
"Aug 8, 2024",ABBA,Voulez-Vous,"Voulez-Vous (Bonus Track Version)","Polar Music International AB"
