"Playlist Title","Pachanga! #6"
"DJ Name",PJ
"Playlist Start Date","Jan 19, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Jan 19, 2023","The Strokes","Welcome To Japan","Comedown Machine","RCA Records Label"
"Jan 19, 2023",Houndmouth,Sedona,"Little Neon Limelight","Rough Trade"
"Jan 19, 2023","Last Dinosaurs",Honolulu,"In a Million Years","Dew Process"
"Jan 19, 2023","The Mowgli's","San Francisco","Waiting For the Dawn","Photo Finish / Republic Records"
"Jan 19, 2023","The Clash","London Calling","London Calling","Sony Music UK"
"Jan 19, 2023","Chastity Belt","Seattle Party","No Regerts","Help Yourself Records"
"Jan 19, 2023","Pink Floyd","San Tropez",Meddle,Columbia/Legacy
"Jan 19, 2023","Frankie Cosmos",Wayne,"Inner World Peace","Sub Pop Records"
"Jan 19, 2023",Autoheart,Moscow,Punch,"O/R Records"
"Jan 19, 2023","Slim & The Beast",Lisbon,"Slim & the Beast","Slim & The Beast"
"Jan 19, 2023","John Cale","Paris 1919","Paris 1919","Domino Recording Co"
"Jan 19, 2023","Billy Joel",Allentown,"The Nylon Curtain",Columbia
"Jan 19, 2023","of Montreal","Wraith Pinned to the Mist and Other Games","The Sunlandic Twins","Polyvinyl Records"
"Jan 19, 2023","Duran Duran",Rio,"Rio (Remastered)","Parlophone UK"
"Jan 19, 2023","Jack Stauber","Oh Klahoma","Pop Food","Plopscotch Records"
