"Playlist Title","Pachanga! #40"
"DJ Name",PJ
"Playlist Start Date","Feb 29, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Feb 29, 2024","Geoff & Maria Muldaur",Brazil,"Pottery Pie","Rhino/Warner Records"
"Feb 29, 2024","David Bowie","Without You","Let's Dance (2018 Remaster)","Parlophone UK"
"Feb 29, 2024",Bleachers,"Tiny Moves",Bleachers,"Dirty Hit"
"Feb 29, 2024","Middle Kids","Bootleg Firecracker","Faith Crisis Pt 1","Middle Kids"
"Feb 29, 2024","Neal Francis","Alameda Apartments (Live)","Francis Comes Alive (Live)","ATO Records / Fontana North"
"Feb 29, 2024","Sammy Rae & The Friends","Whatever We Feel (Live at the Electric Brixton)","The If It All Goes South Tour (Live)","Nettwerk Music Group"
"Feb 29, 2024","Royel Otis","Murder on the Dance Floor (triple j Like A Version)","Murder on the Dancefloor (triple j Like A Version) - Single","triple j"
"Feb 29, 2024","Animal Sounds","The Feeling","Layers - EP","Animal Sounds Records"
"Feb 29, 2024",Zimmer90,"What Love Is","What Love Is - Single",Zimmer90
"Feb 29, 2024","Car Seat Headrest","Sober to Death","Twin Fantasy",Matador
"Feb 29, 2024","Time Cat","American Spirit Blues","American Spirit Blues","Wish Pig Records"
"Feb 29, 2024","Little River Band","Take It Easy On Me","Time Exposure (Remastered 2022)","CAPITOL CATALOG MKT (C92)"
"Feb 29, 2024","Gerry Rafferty","Night Owl","Premium Gold Collection","Parlophone UK"
"Feb 29, 2024","Paco Versailles","Ventura Highway",Dancemenco,"Paco Versailles"
