"Playlist Title","Pachanga! #13"
"DJ Name",PJ
"Playlist Start Date","Apr 20, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Apr 20, 2023","The Clean",Beatnik,1982,"Flying Nun"
"Apr 20, 2023",Tennis,"Need Your Love",Swimmer,"Mutually Detrimental"
"Apr 20, 2023","The Replacements","Alex Chilton","All for Nothing/Nothing for All","Warner Records"
"Apr 20, 2023","Talking Heads","Wild Wild Life","True Stories","Warner Records"
"Apr 20, 2023","The Beths","Future Me Hates Me","Future Me Hates Me","Carpark Records"
"Apr 20, 2023","More Fatter",Weirdo,"Weirdo - Single","nobody gets it (records)"
"Apr 20, 2023",Alvvays,"After The Earthquake","Blue Rev","[PIAS] Australia"
"Apr 20, 2023","Miley Cyrus","Heart of Glass (Live from the iHeart Music Festival)","Heart of Glass (Live from the iHeart Music Festival) - Single","RCA Records Label"
"Apr 20, 2023","Spirit Award","Guilt and Shame","The Fear","Share It Music"
"Apr 20, 2023","Orville Peck","Smalltown Boy","Smalltown Boy - Single",Columbia
"Apr 20, 2023",Whitney,"No Matter Where We Go","Light Upon the Lake","Secretly Canadian"
"Apr 20, 2023","The Lemon Twigs","The One","Songs for the General Public",4AD
"Apr 20, 2023","Black Pumas","Oct 33 (Live in Studio)","Black Pumas (Expanded Deluxe Edition)","ATO Records"
"Apr 20, 2023","LCD Soundsystem","new body rhumba (from the film White Noise)","new body rhumba (from the film White Noise) - Single","DFA Records/Columbia"
