"Playlist Title","Pachanga! #57"
"DJ Name",PJ
"Playlist Start Date","Oct 10, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Oct 10, 2024",Sadistics,"Ready to Fly","The Best",Victor
"Oct 10, 2024","The Electric Peanut Butter Company",Dreams,"Trans-Atlantic Psych Classics, Vol. 2","Ubiquity Records"
"Oct 10, 2024",Allah-Las,Catamaran,Allah-Las,"Innovative Leisure"
"Oct 10, 2024",Cheekface,"I Only Say I'm Sorry When I'm Wrong Now","Therapy Island","New Professor Music"
"Oct 10, 2024","Sammy Rae & The Friends","Good Time Tavern","Something for Everybody",
"Oct 10, 2024","The Clash","Hitsville U.K.",Sandinista!,"Sony Music UK"
"Oct 10, 2024","Kid Bloom","Lately It Feels Alright","Lately It Feels Alright - Single","Position Music under exclusive license from Kid Bloom"
"Oct 10, 2024","David Bowie","Velvet Goldmine (Ziggy Session Outtake) [2024 Remaster]","Rock 'n' Roll Star!",Rhino
"Oct 10, 2024","Remi Wolf","Grumpy Old Man","Juno (Deluxe)","Island Records"
"Oct 10, 2024","Stevie Nicks","Blue Denim","Street Angel","Rhino Atlantic"
"Oct 10, 2024","Roxy Music","Love Is the Drug",Siren,"EG Records"
"Oct 10, 2024","New Order","Leave Me Alone","Power, Corruption & Lies","WM UK"
"Oct 10, 2024",Destroyer,"The Sublimation Hour","Streethawk: A Seduction","Merge Records"
"Oct 10, 2024","Phony Ppl","Nowhere But Up",Euphonyus,"300 Entertainment"
