"Playlist Title","Pachanga! #51"
"DJ Name",PJ
"Playlist Start Date","Jul 25, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Jul 25, 2024","Grateful Dead","Fire On the Mountain (Live at Barton Hall, Cornell University, Ithaca, NY 5/8/77)","Cornell 5/8/77 (Live)","Grateful Dead/Rhino"
"Jul 25, 2024","Car Seat Headrest","Beach Life-in-Death (Live at Crossroads KC, Kansas City, MO)","Commit Yourself Completely (Live)",Matador
"Jul 25, 2024","Talking Heads","Burning Down the House (Live)","Stop Making Sense (Live) [Special New Edition]","Warner Records"
"Jul 25, 2024",Vulfpeck,"Baby I Don't Know Oh Oh (Live at Madison Square Garden) [feat. Charles Jones]","Live at Madison Square Garden","Vulf Records"
"Jul 25, 2024","David Bowie","Hallo Spaceboy (Live, Glastonbury, 2000)","Glastonbury 2000 (Live)","Parlophone UK"
"Jul 25, 2024","Sammy Rae & The Friends","Hotel California (Live at the Roadrunner)","The If It All Goes South Tour (Live)","Nettwerk Music Group"
"Jul 25, 2024","Fleetwood Mac","Sisters of the Moon (Live at the Forum, Los Angeles, CA October 21-22, 1982)","Mirage (Deluxe)","Rhino/Warner Records"
"Jul 25, 2024",Supergrass,"Pumping on Your Stereo (Live 2020)","Live on Other Planets (Live 2020)","Supergrass Records"
"Jul 25, 2024","The Cure","Doing the Unstuck","Show (Live)",Rhino/Elektra
"Jul 25, 2024","Elvis Costello & The Attractions","Party Girl (Live)","Live at Hollywood High","UMe/Elvis Costello"
"Jul 25, 2024","Ian Matthews","Shake It (Live)","Stealin' Home","Omnivore Recordings"
