"Playlist Title","Pachanga! #9"
"DJ Name",PJ
"Playlist Start Date","Mar 16, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Mar 16, 2023","Car Seat Headrest","Running Up That Hill","MADLO: Influences - EP",Matador
"Mar 16, 2023","Patti Smith","Gimme Shelter",Twelve,Columbia/Legacy
"Mar 16, 2023","The Flaming Lips","Space Oddity","Space Oddity - Single","Warner Records"
"Mar 16, 2023",Nirvana,"The Man Who Sold the World (Live & Loud)","In Utero (20th Anniversary Super Deluxe Edition)",Geffen
"Mar 16, 2023","Dolly Parton","The House of the Rising Sun","9 to 5 and Odd Jobs","RCA Records Label"
"Mar 16, 2023","Kenny Chesney","I Want to Know What Love Is","Cosmic Hallelujah","Blue Chair Records, LLC / Columbia Nashville"
"Mar 16, 2023",Midland,"Tougher Than The Rest - Recorded At Sound Stage Studious Nashville","Spotify Singles",
"Mar 16, 2023","Remi Wolf","Pink + White (Live at Electric Lady)","Live at Electric Lady - EP","Island Records"
"Mar 16, 2023","Death Cab for Cutie",Waterfalls,"The Georgia EP","Atlantic Records"
"Mar 16, 2023","David Byrne","I Wanna Dance with Somebody (Live)","Live from Austin, Tx","New West Records"
"Mar 16, 2023","Sam Evian","Right Down the Line","Right Down the Line - Single","Saddle Creek"
"Mar 16, 2023","Lord Huron","Harvest Moon - Record at Spotify Studios NYC","Spotify Singles",
"Mar 16, 2023","Mt. Joy","Orange Blood","Orange Blood","Island Records"
