"Playlist Title","Pachanga! #27"
"DJ Name",PJ
"Playlist Start Date","Aug 24, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Aug 24, 2023","The Dip",Chanterelle,"Won't Be Coming Back - EP","The Dip"
"Aug 24, 2023","Sammy Rae & The Friends","Flesh & Bone","The If It All Goes South Tour (Live)",
"Aug 24, 2023","David Bowie","Ziggy Stardust (Live)","A Reality Tour (Live)",Rhino
"Aug 24, 2023","Remi Wolf",Woo!,"Live at Electric Lady - EP","Island Records"
"Aug 24, 2023","Talking Heads","Psycho Killer - Live at Sun Plaza Tokyo","The Name of the Band is Talking Heads",
"Aug 24, 2023","Car Seat Headrest","Bodys (Live at La Lune des Pirates, Amiens, France)","Commit Yourself Completely (Live)",Matador
"Aug 24, 2023",Vulfpeck,"Animal Spirits (Live at Madison Square Garden) [feat. Theo Katzman]","Live at Madison Square Garden","Vulf Records"
"Aug 24, 2023","Peter Frampton","Show Me The Way - Live in the United States/1976","Frampton Comes Alive!",
"Aug 24, 2023","Black Pumas","I'm Ready (Live from Capitol Studio A)","Black Pumas (Expanded Deluxe Edition)","ATO Records"
"Aug 24, 2023","Omar Apollo","Evergreen (You Didn’t Deserve Me At All) [Live At NPR's Tiny Desk]","Evergreen (You Didn’t Deserve Me At All) [Live At NPR's Tiny Desk] - Single","Warner Records"
"Aug 24, 2023","Lindsey Buckingham","Never Going Back Again (Live)","Live At the Bass Performance Hall",Reprise
"Aug 24, 2023","Sammy Rae & The Friends","Friends in Low Places","The If It All Goes South Tour (Live)",
"Aug 24, 2023",Cuco,"Summertime Hightime (Audiotree Live Version)","Cuco on Audiotree Live - EP","Audiotree Music"
