"Playlist Title","Pachanga! #7"
"DJ Name",PJ
"Playlist Start Date","Mar 2, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Mar 2, 2023","Joey Quinones","Maybe It's Time","Maybe It's Time - Single","Bashtown Music Group"
"Mar 2, 2023",Cayucas,"Yeah Yeah Yeah","Blue Summer","Park The Van"
"Mar 2, 2023","Basil Kirchin","Silicon Chip","Basil Kirchin is My Friend: A Trunk Records Sampler","Trunk Records"
"Mar 2, 2023","Skatt Bros","Walk The Night","Strange Spirits (Extended Edition)",
"Mar 2, 2023",Bahamas,"Don't You Want Me (feat. The Weather Station)","The Secret Life of Walter Mitty (Music From and Inspired By the Motion Picture)","The Secret Life of Walter Mitty"
"Mar 2, 2023","Oracle Sisters","Asc. Scorpio","Paris I - EP",22TWENTY
"Mar 2, 2023","The Brook & The Bluff",Misnomer,"Yard Sale","Mick Music"
"Mar 2, 2023","LCD Soundsystem","home/i want your love - Recorded at Electric Lady Studios NYC","Spotify Singles","DFA Records/Columbia"
"Mar 2, 2023",Prep,"As It Was","As It Was - Single","Bright Antenna"
"Mar 2, 2023","Candi Staton","Nights On Broadway","Music Speaks Louder Than Words","Rhino/Warner Records"
"Mar 2, 2023","Chastity Belt","Different Now","I Used to Spend So Much Time Alone","Hardly Art"
"Mar 2, 2023","Neal Francis","Changes, Pts. 1 & 2",Changes,"Karma Chief Records"
"Mar 2, 2023","Belle and Sebastian","Late Developers","Late Developers",Matador
