"Playlist Title","Pachanga! #1"
"DJ Name",PJ
"Playlist Start Date","Dec 8, 2022"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Dec 8, 2022","Shigeru Suzuki",パッション・フラワー,PACIFIC,"Sony Music Direct (Japan) Inc."
"Dec 8, 2022","Orville Peck","Miss Chatelaine (Iron Hoof Remix)","Miss Chatelaine (Iron Hoof Remix) - Single",Nonesuch
"Dec 8, 2022","Josh Ritter","Right Moves","The Historical Conquests of Josh Ritter","Pytheas Recordings"
"Dec 8, 2022","Sammy Rae & The Friends",Believe,"Believe - Single",
"Dec 8, 2022","LCD Soundsystem","new body rhumba (from the film White Noise)","new body rhumba (from the film White Noise) - Single","DFA Records/Columbia"
"Dec 8, 2022","Valley Queen",Supergiant,Supergiant,"Roll Call Records / Fontana North"
"Dec 8, 2022","Small Paul",Mexico,"Strangeland - EP","Small Paul"
"Dec 8, 2022",AnnenMayKantereit,"Tom's Diner","Tom's Diner - Single","Vertigo Berlin"
"Dec 8, 2022","Omar Apollo","Evergreen (You Didn’t Deserve Me At All)","Ivory (Marfil) [Apple Music Up Next Film Edition]","Warner Records"
"Dec 8, 2022","When In Rome","The Promise (Studio 1987 Version)","The Promise (Studio 1987 Version)","Cleopatra Records"
"Dec 8, 2022","Robbie Dupree","Steal Away","Robbie DuPree",Rhino/Elektra
"Dec 8, 2022","TV Girl",Anjela,"French Exit","TV Girl"
"Dec 8, 2022","The Cactus Blossoms",Desperado,"Easy Way","Walkie Talkie Records"
"Dec 8, 2022","David Byrne","Marching Through the Wilderness","Rei Momo","Warner Records"
"Dec 8, 2022","Electric Light Orchestra","Standin' In the Rain","Out of the Blue",Epic/Legacy
