"Playlist Title","Pachanga! #15"
"DJ Name",PJ
"Playlist Start Date","May 4, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"May 4, 2023","Hailu Mergia",Minlbelesh,"Wede Harer Guzo","Awesome Tapes From Africa"
"May 4, 2023","Dinah Eastwood","I Ran (So Far Away)","I Ran (So Far Away) - Single","Music Brokers"
"May 4, 2023",Ash,"Does Your Mother Know (2008 - Remaster)","Rarities & B-sides","The Echo Label Limited"
"May 4, 2023","The Heavy Heavy","Real Love Baby","Real Love Baby - Single","ATO Records / Fontana North"
"May 4, 2023","Steven Wilson","The Day Before You Came","Cover Version",Kscope
"May 4, 2023","First Aid Kit","On the Road Again","On the Road Again - Single","Jagadamba AB"
"May 4, 2023",Poolside,"Shakedown Street","Shakedown Street - Single","Pacific Standard Records"
"May 4, 2023",R.E.M.,"Pale Blue Eyes","Dead Letter Office",A&M
"May 4, 2023","Fleetwood Mac","Black Magic Woman (Live; 2001 - Remaster)","Men of the World: The Early Years","Castle Communications"
"May 4, 2023",Lucius,"Right Down the Line",Nudes,Mom+Pop
"May 4, 2023","Foo Fighters","Kids In America (Demo 1991)","Songs from the Laundry Room - EP","RCA Records Label"
"May 4, 2023","Reel Big Fish","Boys Don't Cry","A Best of Us for the Rest of Us (Bigger Better Deluxe Digital Version)","Rock Ridge Music"
"May 4, 2023","The Cure","Young Americans","Join the Dots: B-Sides and Rarities, 1978-2001",Rhino/Elektra
"May 4, 2023","Gipsy Kings","Hotel California (Spanish Mix)","The Essential Gipsy Kings","Sony Music CG"
