"Playlist Title","Pachanga! #5"
"DJ Name",PJ
"Playlist Start Date","Jan 12, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Jan 12, 2023","Elvis Costello & The Attractions","Pump It Up - Brutal Remix","Spanish Model",
"Jan 12, 2023","The Happy Fits","Too Late","Awfully Apeelin' - EP","The Happy Fits"
"Jan 12, 2023",Cataldo,"Little Heartbeat",Keepers,"Red Pepper Records"
"Jan 12, 2023","Jason Collett","Crab Walking Home In the Rain","Crab Walking Home In the Rain - Single","Arts & Crafts México"
"Jan 12, 2023","Talking Heads","Take Me to the River (Live)","Stop Making Sense (Live) [Special New Edition]","Warner Records"
"Jan 12, 2023",LDW,"Ebb and Flow","Ebb and Flow - Single",Ldw
"Jan 12, 2023","TV Girl","Lovers Rock","French Exit","TV Girl"
"Jan 12, 2023","The Backseat Lovers","Know Your Name","Waiting to Spill","Capitol Records"
"Jan 12, 2023","George Moir","God's Plan","God's Plan - Single","Infectious Music"
"Jan 12, 2023","The Traveling Wilburys",Margarita,"The Traveling Wilburys Collection (Deluxe Edition) [Remastered]","Concord Records"
"Jan 12, 2023","illuminati hotties","(You're Better) Than Ever","Kiss Yr Frenemies","Tiny Engines"
"Jan 12, 2023",Selena,"La Bamba",Selena,"EMI Latin (LAT)"
"Jan 12, 2023","Sammy Rae & The Friends","Everybody Wants to Rule the World","Everybody Wants to Rule the World - Single","Nettwerk Music Group"
"Jan 12, 2023",Montero,Adriana,"The Loving Gaze",Mistletone
"Jan 12, 2023","The Replacements","I Will Dare","Don't You Know Who I Think I Was? - The Best of the Replacements","Rhino/Warner Records"
